Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
waterloo,Level -  209/17 Danks Street WATERLOO NSW 2017,730,1,1,1
waterloo,601/22 Danks St WATERLOO NSW 2017,720,2,2,1
waterloo,131/18 Danks Street WATERLOO NSW 2017,650,1,1,
waterloo,212/9 Archibald Avenue WATERLOO NSW 2017,630,1,1,1
waterloo,524/850 Bourke  Street WATERLOO NSW 2017,,1,1,
waterloo,410/23 Archibald  Avenue WATERLOO NSW 2017,800,2,2,1
waterloo,421/2-4 Powell Street WATERLOO NSW 2017,550,1,1,
waterloo,8/233 Cope Street WATERLOO NSW 2017,510,1,1,
waterloo,811 South Dowling WATERLOO NSW 2017,720,2,2,1
waterloo,803/12 Broome St WATERLOO NSW 2017,1090,3,2,2
waterloo,31 Wellington Street WATERLOO NSW 2017,1050,3,1,1
waterloo,511/2 Crystal st WATERLOO NSW 2017,960,3,2,1
waterloo,811 South Dowling St WATERLOO NSW 2017,770,2,2,1
waterloo,8 Lachlan Street WATERLOO NSW 2017,,2,2,1
waterloo,347 George Street WATERLOO NSW 2017,750,2,2,1
waterloo,356-368 George Street WATERLOO NSW 2017,770,2,2,1
waterloo,1/1 Kensington Mews WATERLOO NSW 2017,700,2,1,1
waterloo,72/788 Bourke Street WATERLOO NSW 2017,,2,2,1
waterloo,351 George street WATERLOO NSW 2017,650,1,1,
waterloo,57 Wellington Street WATERLOO NSW 2017,,2,1,
waterloo,401/18 Amelia Street WATERLOO NSW 2017,580,1,1,
waterloo,58 O'dea Ave WATERLOO NSW 2017,570,1,1,
waterloo,15 Potter Street WATERLOO NSW 2017,,1,1,
waterloo,407/8 Sam Sing Street WATERLOO NSW 2017,750,1,1,1
waterloo,D105/10 Lachlan Street WATERLOO NSW 2017,750,2,2,1
waterloo,23/11A Lachlan Street WATERLOO NSW 2017,500,2,1,1
waterloo,B404/780 Bourke Street WATERLOO NSW 2017,1195,3,2,2
waterloo,5/237 Cope Street WATERLOO NSW 2017,1000,3,2,1
waterloo,691 Elizabeth Street WATERLOO NSW 2017,960,3,2,2
waterloo,2/662 Elizabeth Street WATERLOO NSW 2017,950,2,2,1
waterloo,104/9 Archibald  Avenue WATERLOO NSW 2017,895,2,2,
waterloo,Level 7  10701/5 Sam Sing  Street WATERLOO NSW 2017,880,2,2,1
waterloo,31a/356-368 George St WATERLOO NSW 2017,850,2,1,
waterloo,142/804 Bourke Street WATERLOO NSW 2017,,3,2,2
waterloo,1x/92 Cope Street WATERLOO NSW 2017,,3,2,1
waterloo,AG03/810 Elizabeth Street WATERLOO NSW 2017,795,2,2,
waterloo,348/9 Crystal Street WATERLOO NSW 2017,750,2,2,1
waterloo,735/4 Lachlan Street WATERLOO NSW 2017,750,2,2,1
waterloo,11 Potter St WATERLOO NSW 2017,750,2,2,1
waterloo,1203/6 Lachlan Street WATERLOO NSW 2017,740,2,2,1
waterloo,19/6 Archibald Avenue WATERLOO NSW 2017,740,2,1,1
waterloo,269/9 Crystal Street WATERLOO NSW 2017,720,2,2,1
waterloo,891 South Dowling St WATERLOO NSW 2017,720,2,2,
waterloo,75/6 Archibald Avenue WATERLOO NSW 2017,700,2,2,1
waterloo,B113/810 Elizabeth St WATERLOO NSW 2017,635,1,1,
waterloo,204/806 Bourke Street WATERLOO NSW 2017,630,2,1,
waterloo,4/2 Kensington Mews WATERLOO NSW 2017,625,2,1,1
waterloo,192/806 Bourke Street WATERLOO NSW 2017,620,2,1,
waterloo,D434/810-822 Elizabeth Street WATERLOO NSW 2017,610,1,1,
waterloo,E804/3 Hunter St WATERLOO NSW 2017,600,1,1,1
waterloo,B514/810-822 Elizabeth Street WATERLOO NSW 2017,590,1,1,
waterloo,416/169-175 Phillip Street WATERLOO NSW 2017,,1,1,
waterloo,F603/1-11 Hunter Street WATERLOO NSW 2017,580,1,1,1
waterloo,306 8 Sam Sing Street WATERLOO NSW 2017,570,1,1,
waterloo,D405/1-11 Hunter Street WATERLOO NSW 2017,570,1,1,1
waterloo,419/7 Crescent Street WATERLOO NSW 2017,570,1,1,1
waterloo,205/169-175 Phillip Street WATERLOO NSW 2017,560,1,1,
waterloo,236/806 Bourke Street WATERLOO NSW 2017,550,1,1,
