Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
waterloo,410/23 Archibald  Avenue WATERLOO NSW 2017,800,2,2,1,-33.9020081,151.210266,3223.0671882936854,298.7893012665002
waterloo,811 South Dowling St WATERLOO NSW 2017,770,2,2,1,-33.89897,151.214981,2978.271431092979,338.0035883599513
waterloo,818/7 Potter St WATERLOO NSW 2017,760,2,2,1,-33.8997459,151.212845,3014.177619116932,138.87976949849087
waterloo,8 Lachlan Street WATERLOO NSW 2017,760,2,2,1,-33.90066,151.213684,3129.896024579217,250.30428417778992
waterloo,347 George Street WATERLOO NSW 2017,750,2,2,1,-33.901413,151.203369,3144.392814598711,771.2080502551966
waterloo,811 South Dowling WATERLOO NSW 2017,720,2,2,1,-33.89897,151.214981,2978.271431092979,338.0035883599513
waterloo,891 South Dowling St WATERLOO NSW 2017,720,2,2,,-33.903492,151.21405,3443.836067653076,509.1289644925394
waterloo,1/1 Kensington Mews WATERLOO NSW 2017,700,2,1,1,-33.899498,151.206924,2922.653745317472,411.97123385237654
waterloo,72/788 Bourke Street WATERLOO NSW 2017,,2,2,1,-33.8985672,151.2122,2874.103350277817,126.5279942878986
waterloo,351 George street WATERLOO NSW 2017,650,1,1,,-33.9019737,151.203613,3204.6768196692874,769.6645456687314
waterloo,57 Wellington Street WATERLOO NSW 2017,,2,1,,-33.8981056,151.2053,2768.279925250901,582.4543438528276
waterloo,401/18 Amelia Street WATERLOO NSW 2017,580,1,1,,-33.9016037,151.213867,3235.712674461976,329.4540212365988
waterloo,58 O'dea Ave WATERLOO NSW 2017,570,1,1,,-33.90335,151.213486,3417.6596855269063,471.56733993538853
waterloo,421/2-4 Powell Street WATERLOO NSW 2017,550,1,1,,-33.90233,151.20697,3236.7891026271686,515.9721101568924
waterloo,8/233 Cope Street WATERLOO NSW 2017,510,1,1,,-33.8994255,151.201584,2943.659353061989,905.9007064873297
waterloo,15 Potter Street WATERLOO NSW 2017,470,1,1,,-33.9001732,151.214,3084.074350449033,254.4476393663858
waterloo,Level 7  10701/5 Sam Sing  Street WATERLOO NSW 2017,880,2,2,1,-33.902832,151.210831,3320.282869509832,375.34215712022535
waterloo,B404/780 Bourke Street WATERLOO NSW 2017,1195,3,2,2,-33.8972664,151.212982,2748.5703241057986,286.78122601807223
waterloo,2/662 Elizabeth Street WATERLOO NSW 2017,950,2,2,1,-33.8963051,151.206985,2568.797960166745,537.6289062411824
waterloo,691 Elizabeth Street WATERLOO NSW 2017,900,3,2,2,-33.8980522,151.206131,2761.3284892528386,510.4698995665391
waterloo,4.29/2 Allen Street WATERLOO NSW 2017,865,2,2,2,-33.902977,151.202286,3326.5082919233437,926.1280690018683
waterloo,31a/356-368 George St WATERLOO NSW 2017,850,2,1,,-33.90307,151.203369,3327.620191365998,841.063480804016
waterloo,142/804 Bourke Street WATERLOO NSW 2017,,3,2,2,-33.8985825,151.212036,2872.8367635428167,116.58659365460294
waterloo,1x/92 Cope Street WATERLOO NSW 2017,,3,2,1,-33.8962135,151.199768,2623.9311859666564,1133.3105111891641
waterloo,AG03/810 Elizabeth Street WATERLOO NSW 2017,795,2,2,,-33.90045,151.20639,3027.3998066567187,473.7598159297341
waterloo,313/8 Sam Sing  Street WATERLOO NSW 2017,795,2,2,1,-33.90112,151.211365,3139.39318323914,182.02465374645416
waterloo,407/8 Sam Sing Street WATERLOO NSW 2017,750,1,1,1,-33.9027939,151.210541,3312.671489383132,375.7520684085894
waterloo,735/4 Lachlan Street WATERLOO NSW 2017,750,2,2,1,-33.89988,151.212036,3014.2408535658137,75.38171020356717
waterloo,D105/10 Lachlan Street WATERLOO NSW 2017,750,2,2,1,-33.9007072,151.213989,3141.420385626761,277.2741627160278
waterloo,11 Potter St WATERLOO NSW 2017,750,2,2,1,-33.8997574,151.213715,3033.0629313307027,218.35152043268113
waterloo,19/6 Archibald Avenue WATERLOO NSW 2017,740,2,1,1,-33.90139,151.2103,3155.390330640609,234.24861865323703
waterloo,356-368 George Street WATERLOO NSW 2017,770,2,2,1,-33.90307,151.203369,3327.620191365998,841.063480804016
waterloo,269/9 Crystal Street WATERLOO NSW 2017,720,2,2,1,-33.8990936,151.212311,2933.3722349282,96.30452371085566
waterloo,75/15 Potter Street WATERLOO NSW 2017,,2,2,1,-33.9001732,151.214,3084.074350449033,254.4476393663858
waterloo,75/6 Archibald Avenue WATERLOO NSW 2017,700,2,2,1,-33.90138,151.210648,3158.4015509588353,221.40649561215878
waterloo,332/4 Lachlan Street WATERLOO NSW 2017,650,1,1,,-33.89988,151.212036,3014.2408535658137,75.38171020356717
waterloo,B113/810 Elizabeth St WATERLOO NSW 2017,635,1,1,,-33.90045,151.20639,3027.3998066567187,473.7598159297341
waterloo,192/806 Bourke Street WATERLOO NSW 2017,620,2,1,,-33.8985634,151.2119,2868.3834688882566,112.45150207273664
waterloo,101/762-768 Elizabeth Street WATERLOO NSW 2017,620,1,1,1,-33.89892,151.206665,2858.0367495736987,440.3107257461385
waterloo,D434/810-822 Elizabeth Street WATERLOO NSW 2017,610,1,1,,-33.9008942,151.206421,3076.6940182579706,484.61406444026125
waterloo,204/806 Bourke Street WATERLOO NSW 2017,610,2,1,,-33.8985634,151.2119,2868.3834688882566,112.45150207273664
waterloo,E804/3 Hunter St WATERLOO NSW 2017,600,1,1,1,-33.90081,151.207,3068.31555116735,431.00708754662526
waterloo,B514/810-822 Elizabeth Street WATERLOO NSW 2017,590,1,1,,-33.9008942,151.206421,3076.6940182579706,484.61406444026125
waterloo,F803/7 Hunter Street WATERLOO NSW 2017,585,1,1,1,-33.9014778,151.2068,3141.9354115026867,477.96187334359524
waterloo,F603/1-11 Hunter Street WATERLOO NSW 2017,580,1,1,1,-33.90081,151.207,3068.31555116735,431.00708754662526
waterloo,D405/1-11 Hunter Street WATERLOO NSW 2017,570,1,1,1,-33.9018555,151.206863,3183.942936031799,493.8400812363893
waterloo,419/7 Crescent Street WATERLOO NSW 2017,570,1,1,1,-33.8978653,151.2146,2850.7707011599405,347.6381715264976
waterloo,526/7 Potter Street WATERLOO NSW 2017,570,1,1,,-33.8997459,151.212845,3014.177619116932,138.87976949849087
waterloo,205/169-175 Phillip Street WATERLOO NSW 2017,560,1,1,,-33.8971519,151.210434,2691.2800903304837,272.4912940925892
waterloo,19/834 Bourke Street WATERLOO NSW 2017,,1,1,,-33.90118,151.209717,3126.067770981641,243.31217707579384
waterloo,236/806 Bourke Street WATERLOO NSW 2017,540,1,1,,-33.8985634,151.2119,2868.3834688882566,112.45150207273664
waterloo,G1/762-768 Elizabeth Street WATERLOO NSW 2017,540,1,1,,-33.89892,151.206665,2858.0367495736987,440.3107257461385
waterloo,209/806 Bourke Street WATERLOO NSW 2017,530,1,1,,-33.8985634,151.2119,2868.3834688882566,112.45150207273664
waterloo,A209/34-38 McEvoy St WATERLOO NSW 2017,530,1,1,,-33.90114,151.204163,3109.0806546649114,692.2994598730717
waterloo,27/1 Thread Lane WATERLOO NSW 2017,,1,1,,-33.9009781,151.2105,3112.4091817380754,185.05192803289842
waterloo,23/11A Lachlan Street WATERLOO NSW 2017,500,2,1,1,-33.9009933,151.211792,3131.8895866448615,172.27652533639903
