Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
burwood,G.3/10 Gladstone Street BURWOOD NSW 2134,1030000,2,2,1,-33.8739853,151.098358,9970.318763615369,613.375802503182
burwood,6/10 Gladstone St BURWOOD NSW 2134,1010000,2,2,1,-33.87418,151.100357,9785.591807272953,454.706282054738
burwood,BURWOOD NSW 2134,1000000,2,2,1,-33.8775558,151.1037,9488.00010387615,61.89340294034061
burwood,Level 25-27/7 Deane Street  Corner Of  Marmaduke Street BURWOOD NSW 2134,,2,2,1,-33.8770676,151.105759,9295.101979875657,172.2470962745015
burwood,B903/39-47 Belmore  Street BURWOOD NSW 2134,,2,2,1,-33.87815,151.100677,9770.807151878478,323.1638213649866
burwood,17/42 Meryla St BURWOOD NSW 2134,990000,2,2,1,-33.873188,151.105316,9326.175907785384,445.12895275047936
burwood,301/19 Burwood Road BURWOOD NSW 2134,978000,2,2,1,-33.870575,151.1047,9387.683045959562,719.0296504455129
burwood,XXX Belmore Street BURWOOD NSW 2134,,2,2,1,-33.87888,151.1034,9524.306163479743,211.09037883593882
burwood,C808/39-47 Belmore Street BURWOOD NSW 2134,,2,2,1,-33.87815,151.100677,9770.807151878478,323.1638213649866
burwood,2 Bed/2A-8 Burwood  Road BURWOOD NSW 2134,900000,2,2,1,-33.8696365,151.10553,9314.759424920188,833.0872086158179
burwood,Mary Street BURWOOD NSW 2134,,2,2,1,-33.8765144,151.104645,9395.456435039714,89.19841299741918
burwood,68-72 Railway Parade BURWOOD NSW 2134,899000,2,2,1,-33.8757553,151.098328,9976.73069040364,534.1612695652416
burwood,68-72 Railway Parade BURWOOD NSW 2134,880000,2,2,1,-33.8757553,151.098328,9976.73069040364,534.1612695652416
burwood,L21/7 Deane Street BURWOOD NSW 2134,,2,1,1,-33.8767967,151.105377,9329.07243066224,139.1131379501455
burwood,203/3-7 Burwood Road BURWOOD NSW 2134,,2,2,1,-33.8697624,151.104874,9374.823767746382,810.3712249396963
burwood,B04 2 Bed/96 Liverpool Road BURWOOD NSW 2134,,2,2,1,-33.88823,151.102112,9765.938065784254,1254.0379439574892
burwood,1 RAILWAY PARADE BURWOOD NSW 2134,,2,2,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,Level 9  114/1 Railway Parade BURWOOD NSW 2134,,2,2,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,4.5/10 Gladstone Street BURWOOD NSW 2134,800000,1,1,1,-33.8739853,151.098358,9970.318763615369,613.375802503182
burwood,89/1 Railway Pde BURWOOD NSW 2134,,2,2,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,8/10 Gladstone St BURWOOD NSW 2134,,1,1,1,-33.87374,151.098419,9964.475878661458,624.1407421358773
burwood,317/1 Railway Parade BURWOOD NSW 2134,795000,2,2,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,189/1 railway parade BURWOOD NSW 2134,,2,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,203/96 Liverpool Road BURWOOD NSW 2134,770000,2,2,1,-33.88823,151.102112,9765.938065784254,1254.0379439574892
burwood,201/96 Liverpool Road BURWOOD NSW 2134,770000,2,2,1,-33.88823,151.102112,9765.938065784254,1254.0379439574892
burwood,7018/3 belmore street BURWOOD NSW 2134,750000,1,1,1,-33.878994,151.106339,9253.885633356067,314.33519207098976
burwood,1501/7 Deane Street BURWOOD NSW 2134,,1,1,1,-33.87682,151.105362,9330.569831237995,137.30130246233205
burwood,11/10 Gladstone St BURWOOD NSW 2134,750000,1,1,1,-33.8737259,151.099915,9826.057240466993,519.1599806734833
burwood,3/10 Gladstone St BURWOOD NSW 2134,740000,1,1,1,-33.8738823,151.0997,9846.066354288654,521.72388864627
burwood,1305C/1-17 Elsie Street BURWOOD NSW 2134,700000,1,1,1,-33.8753853,151.1026,9580.529239136833,217.7417976344228
burwood,A602/1-17 Elsie Street BURWOOD NSW 2134,,1,1,1,-33.8753853,151.1026,9580.529239136833,217.7417976344228
burwood,XXXX Belmore Street BURWOOD NSW 2134,,1,1,1,-33.87888,151.1034,9524.306163479743,211.09037883593882
burwood,1 Bed/2A-8 Burwood  Road BURWOOD NSW 2134,690000,1,1,1,-33.8696365,151.10553,9314.759424920188,833.0872086158179
burwood,47 belmore st BURWOOD NSW 2134,670000,1,1,1,-33.8778267,151.100449,9789.923511931012,331.3167783509533
burwood,50A Burwood Road BURWOOD NSW 2134,,1,1,1,-33.87188,151.105087,9348.508065437565,580.9503374366416
burwood,10-12 Burwood Road BURWOOD NSW 2134,,1,1,1,-33.86983,151.105484,9318.126464228848,811.2082976103186
burwood,74/1 Railway Parade BURWOOD NSW 2134,,1,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,246/1 Railway Parade BURWOOD NSW 2134,,1,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,402/96 Liverpool Road BURWOOD NSW 2134,609000,1,1,1,-33.88823,151.102112,9765.938065784254,1254.0379439574892
burwood,36-38 Victoria BURWOOD NSW 2134,605000,1,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,52 Burwood Road BURWOOD NSW 2134,,1,1,1,-33.87196,151.105072,9349.761111642487,571.9745574475238
burwood,120-124 Wentworth Road BURWOOD NSW 2134,,1,1,1,-33.8786926,151.09729,10087.1339533154,638.7914401266131
burwood,174/1 railway parade BURWOOD NSW 2134,,1,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,5/81 Liverpool Road BURWOOD NSW 2134,599000,1,1,1,-33.887188,151.100891,9858.402133875958,1161.3366129342241
burwood,6/81 Liverpool Road BURWOOD NSW 2134,599000,1,1,1,-33.887188,151.100891,9858.402133875958,1161.3366129342241
burwood,243/1 Railway parade BURWOOD NSW 2134,,1,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,52 Burwood Road BURWOOD NSW 2134,,2,2,1,-33.87196,151.105072,9349.761111642487,571.9745574475238
burwood,103/36-38 Victoria Street BURWOOD NSW 2134,599990,1,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,304/38 Victoria  Street BURWOOD NSW 2134,599000,1,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,3/199 Liverpool Road BURWOOD NSW 2134,560000,2,1,1,-33.8859024,151.0965,10239.154273840822,1199.3747519468557
burwood,28/81 Liverpool Road BURWOOD NSW 2134,560000,,1,1,-33.887188,151.100891,9858.402133875958,1161.3366129342241
burwood,105/36-38 Victoria Street BURWOOD NSW 2134,550000,1,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,52 Burwood Road BURWOOD NSW 2134,,2,2,1,-33.87196,151.105072,9349.761111642487,571.9745574475238
burwood,106/36-38 Victoria Street BURWOOD NSW 2134,550000,1,1,1,-33.87544,151.10556,9306.921974956034,233.38123126822603
burwood,41/1 railway parade BURWOOD NSW 2134,,,1,1,-33.8771,151.102463,9599.886727549343,133.03871116305993
burwood,19/35 George Street BURWOOD NSW 2134,350000,,1,,-33.8760643,151.104584,9399.275375465164,123.82011925829065
burwood,Xx Corner Of Deane Street And Marmaduke Street BURWOOD NSW 2134,,,1,,-33.87675,151.10585,9285.13047361073,183.11227823815355
burwood,31 Albert Crescent BURWOOD NSW 2134,,4,2,2,-33.8794975,151.111,8828.011464115823,712.083847243448
burwood,19 Lucas Road BURWOOD NSW 2134,,3,2,2,-33.87123,151.111176,8786.699009078866,930.740405302257
burwood,36-38   Victoria St BURWOOD NSW 2134,,2,2,1,-33.87547,151.105545,9308.398745044926,229.9664894570429
burwood,36-38 Victoria St BURWOOD NSW 2134,,2,2,1,-33.87547,151.105545,9308.398745044926,229.9664894570429
